,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,11,56,games,0.19642857142857142,1.0,0.19642857142857142,44,100,400,1574,0.48200416564941406,0.3283582089552239,0.8035714285714286,0.8035714285714286,0.0
1,TitleWordVec,_games_v3_t49_p98,0,3,games,0.0,0.0,0.0,97,100,400,1574,0.27802014350891113,0.0,1.0,1.0,0.0
2,KNN Basic,_games_v3_t49_p98,7,52,games,0.1346153846153846,1.0,0.1346153846153846,48,100,400,1574,0.34400033950805664,0.23728813559322035,0.8653846153846154,0.8653846153846154,0.0
3,KNN With Means,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.2950019836425781,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
4,KNN With ZScore,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.312999963760376,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
5,KNN With Means,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.2910029888153076,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
6,Matrix Basic,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.29700231552124023,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
7,SVD Factorization,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.2960045337677002,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.30499911308288574,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.31600165367126465,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
10,Slope One Recommender,_games_v3_t49_p98,4,52,games,0.07692307692307693,1.0,0.07692307692307693,48,100,400,1574,0.2909975051879883,0.14285714285714285,0.9230769230769231,0.9230769230769231,0.0
11,Slope One Recommender,_games_v3_t49_p98,8,52,games,0.15384615384615385,1.0,0.15384615384615385,48,100,400,1574,0.3319995403289795,0.26666666666666666,0.8461538461538461,0.8461538461538461,0.0
12,WordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.16000151634216309,1.0,0.0,0.0,1.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.11101365089416504,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03800249099731445,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.038002729415893555,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05100083351135254,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.040001630783081055,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.05000162124633789,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.07199978828430176,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.12600302696228027,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.049997806549072266,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04300260543823242,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.07500386238098145,,,,
24,WordVec,_movies_v3_t100_p200,1,2,movies,0.5,1.0,0.5,0,2,5,753,0.5179972648620605,0.6666666666666666,0.5,0.5,0.0
25,TitleWordVec,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.09099864959716797,,,,
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.026998043060302734,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.027999401092529297,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.04500555992126465,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.028004169464111328,,,,
30,Matrix Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.038999319076538086,,,,
31,SVD Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.04200148582458496,,,,
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.15600371360778809,,,,
33,NMF Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.06400203704833984,,,,
34,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.038002729415893555,,,,
35,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.07499837875366211,,,,
