,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,count_unique_users_tested,count_unique_users_train
0,WordVec,_books_v1_10_10,8,169,books,0.047337278106508875,1.0,0.047337278106508875,0,169,50000
1,TitleWordVec,_books_v1_10_10,25,169,books,0.14792899408284024,1.0,0.14792899408284024,0,169,50000
2,KNN Basic,_books_v1_10_10,46,169,books,0.27218934911242604,1.0,0.27218934911242604,0,169,50000
3,KNN With Means,_books_v1_10_10,49,169,books,0.28994082840236685,1.0,0.28994082840236685,0,169,50000
4,KNN With ZScore,_books_v1_10_10,49,169,books,0.28994082840236685,1.0,0.28994082840236685,0,169,50000
5,KNN With Means,_books_v1_10_10,49,169,books,0.28994082840236685,1.0,0.28994082840236685,0,169,50000
6,Matrix Basic,_books_v1_10_10,53,169,books,0.3136094674556213,1.0,0.3136094674556213,0,169,50000
7,SVD Factorization,_books_v1_10_10,47,169,books,0.2781065088757396,1.0,0.2781065088757396,0,169,50000
8,SVD PP Matrix Factorization,_books_v1_10_10,45,169,books,0.26627218934911245,1.0,0.26627218934911245,0,169,50000
9,NMF Matrix Factorization,_books_v1_10_10,44,169,books,0.2603550295857988,1.0,0.2603550295857988,0,169,50000
10,Slope One Recommender,_books_v1_10_10,50,169,books,0.2958579881656805,1.0,0.2958579881656805,0,169,50000
11,Slope One Recommender,_books_v1_10_10,47,169,books,0.2781065088757396,1.0,0.2781065088757396,0,169,50000
12,WordVec,_books_v2_t4_p8,8,298,books,0.026845637583892617,1.0,0.026845637583892617,0,298,50000
13,TitleWordVec,_books_v2_t4_p8,23,298,books,0.07718120805369127,1.0,0.07718120805369127,0,298,50000
14,KNN Basic,_books_v2_t4_p8,41,298,books,0.13758389261744966,1.0,0.13758389261744966,0,298,50000
15,KNN With Means,_books_v2_t4_p8,40,298,books,0.1342281879194631,1.0,0.1342281879194631,0,298,50000
16,KNN With ZScore,_books_v2_t4_p8,43,298,books,0.14429530201342283,1.0,0.14429530201342283,0,298,50000
17,KNN With Means,_books_v2_t4_p8,40,298,books,0.1342281879194631,1.0,0.1342281879194631,0,298,50000
18,Matrix Basic,_books_v2_t4_p8,49,298,books,0.1644295302013423,1.0,0.1644295302013423,0,298,50000
19,SVD Factorization,_books_v2_t4_p8,49,298,books,0.1644295302013423,1.0,0.1644295302013423,0,298,50000
20,SVD PP Matrix Factorization,_books_v2_t4_p8,47,298,books,0.15771812080536912,1.0,0.15771812080536912,0,298,50000
21,NMF Matrix Factorization,_books_v2_t4_p8,43,298,books,0.14429530201342283,1.0,0.14429530201342283,0,298,50000
22,Slope One Recommender,_books_v2_t4_p8,45,298,books,0.15100671140939598,1.0,0.15100671140939598,0,298,50000
23,Slope One Recommender,_books_v2_t4_p8,47,298,books,0.15771812080536912,1.0,0.15771812080536912,0,298,50000
24,WordVec,_games_v2_t6_p12,251,1537,games,0.16330513988288875,1.0,0.16330513988288875,6736,8273,50000
25,TitleWordVec,_games_v2_t6_p12,11,193,games,0.05699481865284974,1.0,0.05699481865284974,8080,8273,50000
26,KNN Basic,_games_v2_t6_p12,90,1537,games,0.05855562784645413,1.0,0.05855562784645413,6736,8273,50000
27,KNN With Means,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
28,KNN With ZScore,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
29,KNN With Means,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
30,Matrix Basic,_games_v2_t6_p12,128,1537,games,0.08327911515940144,1.0,0.08327911515940144,6736,8273,50000
31,SVD Factorization,_games_v2_t6_p12,128,1537,games,0.08327911515940144,1.0,0.08327911515940144,6736,8273,50000
32,SVD PP Matrix Factorization,_games_v2_t6_p12,133,1537,games,0.08653220559531555,1.0,0.08653220559531555,6736,8273,50000
33,NMF Matrix Factorization,_games_v2_t6_p12,127,1537,games,0.0826284970722186,1.0,0.0826284970722186,6736,8273,50000
34,Slope One Recommender,_games_v2_t6_p12,120,1537,games,0.07807417046193885,1.0,0.07807417046193885,6736,8273,50000
35,Slope One Recommender,_games_v2_t6_p12,119,1537,games,0.07742355237475602,1.0,0.07742355237475602,6736,8273,50000
