,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration
0,WordVec,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.35700058937072754
1,TitleWordVec,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.18999958038330078
2,KNN Basic,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.014000892639160156
3,KNN With Means,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.009999752044677734
4,KNN With ZScore,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.06399965286254883
5,KNN With Means,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.013000011444091797
6,Matrix Basic,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.020999908447265625
7,SVD Factorization,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.020999670028686523
8,SVD PP Matrix Factorization,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.021000146865844727
9,NMF Matrix Factorization,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.041001319885253906
10,Slope One Recommender,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.01999950408935547
11,Slope One Recommender,_games_v2_t6_p12,0,0,games,,0.0,0.0,100,100,400,2274,0.04900026321411133
12,WordVec,_movies_v2_t6_p12,12,100,movies,0.12,1.0,0.12,0,100,400,5072,4.454000234603882
13,TitleWordVec,_movies_v2_t6_p12,43,99,movies,0.43434343434343436,1.0,0.43434343434343436,1,100,400,5072,0.731001615524292
14,KNN Basic,_movies_v2_t6_p12,17,50,movies,0.34,1.0,0.34,50,100,400,5072,14.306000471115112
15,KNN With Means,_movies_v2_t6_p12,16,50,movies,0.32,1.0,0.32,50,100,400,5072,14.76900029182434
16,KNN With ZScore,_movies_v2_t6_p12,16,50,movies,0.32,1.0,0.32,50,100,400,5072,15.236541032791138
17,KNN With Means,_movies_v2_t6_p12,16,50,movies,0.32,1.0,0.32,50,100,400,5072,15.047998905181885
18,Matrix Basic,_movies_v2_t6_p12,22,51,movies,0.43137254901960786,1.0,0.43137254901960786,49,100,400,5072,13.436028480529785
19,SVD Factorization,_movies_v2_t6_p12,25,51,movies,0.49019607843137253,1.0,0.49019607843137253,49,100,400,5072,13.328004360198975
20,SVD PP Matrix Factorization,_movies_v2_t6_p12,22,51,movies,0.43137254901960786,1.0,0.43137254901960786,49,100,400,5072,31.353999853134155
21,NMF Matrix Factorization,_movies_v2_t6_p12,24,51,movies,0.47058823529411764,1.0,0.47058823529411764,49,100,400,5072,13.339354515075684
22,Slope One Recommender,_movies_v2_t6_p12,22,51,movies,0.43137254901960786,1.0,0.43137254901960786,49,100,400,5072,15.878000736236572
23,Slope One Recommender,_movies_v2_t6_p12,25,51,movies,0.49019607843137253,1.0,0.49019607843137253,49,100,400,5072,14.54276180267334
