,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,74,138,games,0.5362318840579711,1.0,0.5362318840579711,0,138,548,1574,1.090944528579712,0.6981132075471698,0.463768115942029,0.463768115942029,0.0
1,TitleWordVec,_games_v3_t49_p98,2,6,games,0.3333333333333333,1.0,0.3333333333333333,132,138,548,1574,0.5700850486755371,0.5,0.6666666666666666,0.6666666666666666,0.0
2,KNN Basic,_games_v3_t49_p98,19,130,games,0.14615384615384616,1.0,0.14615384615384616,8,138,548,1574,35.25990152359009,0.2550335570469799,0.8538461538461538,0.8538461538461538,0.0
3,KNN With Means,_games_v3_t49_p98,25,130,games,0.19230769230769232,1.0,0.19230769230769232,8,138,548,1574,35.3516731262207,0.3225806451612903,0.8076923076923077,0.8076923076923077,0.0
4,KNN With ZScore,_games_v3_t49_p98,23,130,games,0.17692307692307693,1.0,0.17692307692307693,8,138,548,1574,33.84720063209534,0.3006535947712418,0.823076923076923,0.823076923076923,0.0
5,KNN With Means,_games_v3_t49_p98,25,130,games,0.19230769230769232,1.0,0.19230769230769232,8,138,548,1574,33.98896288871765,0.3225806451612903,0.8076923076923077,0.8076923076923077,0.0
6,Matrix Basic,_games_v3_t49_p98,50,130,games,0.38461538461538464,1.0,0.38461538461538464,8,138,548,1574,28.580976486206055,0.5555555555555556,0.6153846153846154,0.6153846153846154,0.0
7,SVD Factorization,_games_v3_t49_p98,50,130,games,0.38461538461538464,1.0,0.38461538461538464,8,138,548,1574,28.327587842941284,0.5555555555555556,0.6153846153846154,0.6153846153846154,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,47,130,games,0.36153846153846153,1.0,0.36153846153846153,8,138,548,1574,38.49594259262085,0.5310734463276836,0.6384615384615384,0.6384615384615384,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,51,130,games,0.3923076923076923,1.0,0.3923076923076923,8,138,548,1574,30.02303171157837,0.56353591160221,0.6076923076923076,0.6076923076923076,0.0
10,Slope One Recommender,_games_v3_t49_p98,55,130,games,0.4230769230769231,1.0,0.4230769230769231,8,138,548,1574,33.21929216384888,0.5945945945945946,0.5769230769230769,0.5769230769230769,0.0
11,Co Clustering Recommender,_games_v3_t49_p98,55,130,games,0.4230769230769231,1.0,0.4230769230769231,8,138,548,1574,32.237234592437744,0.5945945945945946,0.5769230769230769,0.5769230769230769,0.0
12,WordVec,_books_v3_t45_p90,63,104,books,0.6057692307692307,1.0,0.6057692307692307,0,104,414,855,0.5650460720062256,0.7544910179640718,0.3942307692307692,0.3942307692307692,0.0
13,TitleWordVec,_books_v3_t45_p90,55,104,books,0.5288461538461539,1.0,0.5288461538461539,0,104,414,855,0.4208333492279053,0.6918238993710691,0.47115384615384615,0.47115384615384615,0.0
14,KNN Basic,_books_v3_t45_p90,15,62,books,0.24193548387096775,1.0,0.24193548387096775,42,104,414,855,114.53382635116577,0.38961038961038963,0.7580645161290323,0.7580645161290323,0.0
15,KNN With Means,_books_v3_t45_p90,15,62,books,0.24193548387096775,1.0,0.24193548387096775,42,104,414,855,113.83117079734802,0.38961038961038963,0.7580645161290323,0.7580645161290323,0.0
16,KNN With ZScore,_books_v3_t45_p90,16,62,books,0.25806451612903225,1.0,0.25806451612903225,42,104,414,855,112.80587244033813,0.41025641025641024,0.7419354838709677,0.7419354838709677,0.0
