,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,6,58,games,0.10344827586206896,1.0,0.10344827586206896,42,100,400,1574,0.46199870109558105,0.1875,0.896551724137931,0.896551724137931,0.0
1,TitleWordVec,_games_v3_t49_p98,0,4,games,0.0,0.0,0.0,96,100,400,1574,0.27899765968322754,0.0,1.0,1.0,0.0
2,KNN Basic,_games_v3_t49_p98,4,56,games,0.07142857142857142,1.0,0.07142857142857142,44,100,400,1574,0.33100438117980957,0.13333333333333333,0.9285714285714286,0.9285714285714286,0.0
3,KNN With Means,_games_v3_t49_p98,4,56,games,0.07142857142857142,1.0,0.07142857142857142,44,100,400,1574,0.3410017490386963,0.13333333333333333,0.9285714285714286,0.9285714285714286,0.0
4,KNN With ZScore,_games_v3_t49_p98,4,56,games,0.07142857142857142,1.0,0.07142857142857142,44,100,400,1574,0.3380300998687744,0.13333333333333333,0.9285714285714286,0.9285714285714286,0.0
5,KNN With Means,_games_v3_t49_p98,4,56,games,0.07142857142857142,1.0,0.07142857142857142,44,100,400,1574,0.33100199699401855,0.13333333333333333,0.9285714285714286,0.9285714285714286,0.0
6,Matrix Basic,_games_v3_t49_p98,6,56,games,0.10714285714285714,1.0,0.10714285714285714,44,100,400,1574,0.34200119972229004,0.1935483870967742,0.8928571428571429,0.8928571428571429,0.0
7,SVD Factorization,_games_v3_t49_p98,6,56,games,0.10714285714285714,1.0,0.10714285714285714,44,100,400,1574,0.35400390625,0.1935483870967742,0.8928571428571429,0.8928571428571429,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,6,56,games,0.10714285714285714,1.0,0.10714285714285714,44,100,400,1574,0.3580014705657959,0.1935483870967742,0.8928571428571429,0.8928571428571429,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,7,56,games,0.125,1.0,0.125,44,100,400,1574,0.36499762535095215,0.2222222222222222,0.875,0.875,0.0
10,Slope One Recommender,_games_v3_t49_p98,4,56,games,0.07142857142857142,1.0,0.07142857142857142,44,100,400,1574,0.3950002193450928,0.13333333333333333,0.9285714285714286,0.9285714285714286,0.0
11,Slope One Recommender,_games_v3_t49_p98,7,56,games,0.125,1.0,0.125,44,100,400,1574,0.37000083923339844,0.2222222222222222,0.875,0.875,0.0
12,WordVec,_books_v3_t45_p90,3,3,books,1.0,1.0,1.0,0,3,8,855,0.15900182723999023,1.0,0.0,0.0,1.0
13,TitleWordVec,_books_v3_t45_p90,2,3,books,0.6666666666666666,1.0,0.6666666666666666,0,3,8,855,0.1100013256072998,0.8,0.3333333333333333,0.3333333333333333,0.0
14,KNN Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03400158882141113,,,,
15,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03399920463562012,,,,
16,KNN With ZScore,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04800224304199219,,,,
17,KNN With Means,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.03400063514709473,,,,
18,Matrix Basic,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.0409998893737793,,,,
19,SVD Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.04100370407104492,,,,
20,SVD PP Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.12399673461914062,,,,
21,NMF Matrix Factorization,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.0480036735534668,,,,
22,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.039003610610961914,,,,
23,Slope One Recommender,_books_v3_t45_p90,0,0,books,,0.0,0.0,3,3,8,855,0.07000327110290527,,,,
24,WordVec,_movies_v3_t100_p200,0,2,movies,0.0,0.0,0.0,0,2,5,753,0.5189967155456543,0.0,1.0,1.0,0.0
25,TitleWordVec,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.08800029754638672,,,,
26,KNN Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.01600027084350586,,,,
27,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.017002582550048828,,,,
28,KNN With ZScore,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.03200554847717285,,,,
29,KNN With Means,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.01699995994567871,,,,
30,Matrix Basic,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.02799701690673828,,,,
31,SVD Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.04200100898742676,,,,
32,SVD PP Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.10100460052490234,,,,
33,NMF Matrix Factorization,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.04952073097229004,,,,
34,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.0260007381439209,,,,
35,Slope One Recommender,_movies_v3_t100_p200,0,0,movies,,0.0,0.0,2,2,5,753,0.06200289726257324,,,,
