,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,77,138,games,0.5579710144927537,1.0,0.5579710144927537,0,138,548,1574,0.9449999332427979,0.7162790697674418,0.4420289855072464,0.4420289855072464,0.0
1,TitleWordVec,_games_v3_t49_p98,2,6,games,0.3333333333333333,1.0,0.3333333333333333,132,138,548,1574,0.48244333267211914,0.5,0.6666666666666666,0.6666666666666666,0.0
2,KNN Basic,_games_v3_t49_p98,19,130,games,0.14615384615384616,1.0,0.14615384615384616,8,138,548,1574,30.612000226974487,0.2550335570469799,0.8538461538461538,0.8538461538461538,0.0
3,KNN With Means,_games_v3_t49_p98,25,130,games,0.19230769230769232,1.0,0.19230769230769232,8,138,548,1574,31.624999284744263,0.3225806451612903,0.8076923076923077,0.8076923076923077,0.0
4,KNN With ZScore,_games_v3_t49_p98,23,130,games,0.17692307692307693,1.0,0.17692307692307693,8,138,548,1574,31.233015775680542,0.3006535947712418,0.823076923076923,0.823076923076923,0.0
5,KNN With Means,_games_v3_t49_p98,25,130,games,0.19230769230769232,1.0,0.19230769230769232,8,138,548,1574,31.526999950408936,0.3225806451612903,0.8076923076923077,0.8076923076923077,0.0
6,Matrix Basic,_games_v3_t49_p98,50,130,games,0.38461538461538464,1.0,0.38461538461538464,8,138,548,1574,26.663999557495117,0.5555555555555556,0.6153846153846154,0.6153846153846154,0.0
7,SVD Factorization,_games_v3_t49_p98,52,130,games,0.4,1.0,0.4,8,138,548,1574,26.584999561309814,0.5714285714285714,0.6,0.6,0.0
8,SVD PP Matrix Factorization,_games_v3_t49_p98,41,130,games,0.3153846153846154,1.0,0.3153846153846154,8,138,548,1574,34.69500017166138,0.47953216374269003,0.6846153846153846,0.6846153846153846,0.0
9,NMF Matrix Factorization,_games_v3_t49_p98,28,130,games,0.2153846153846154,1.0,0.2153846153846154,8,138,548,1574,27.025001049041748,0.35443037974683544,0.7846153846153846,0.7846153846153846,0.0
10,Slope One Recommender,_games_v3_t49_p98,55,130,games,0.4230769230769231,1.0,0.4230769230769231,8,138,548,1574,30.11900019645691,0.5945945945945946,0.5769230769230769,0.5769230769230769,0.0
11,Slope One Recommender,_games_v3_t49_p98,53,130,games,0.4076923076923077,1.0,0.4076923076923077,8,138,548,1574,26.822999954223633,0.5792349726775956,0.5923076923076923,0.5923076923076923,0.0
12,WordVec,_books_v3_t45_p90,63,104,books,0.6057692307692307,1.0,0.6057692307692307,0,104,414,855,0.504000186920166,0.7544910179640718,0.3942307692307692,0.3942307692307692,0.0
