,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,count_unique_users_tested,count_unique_users_train
0,WordVec,_games_v2_t6_p12,252,1537,games,0.16395575797007156,1.0,0.16395575797007156,6736,8273,50000
1,TitleWordVec,_games_v2_t6_p12,11,193,games,0.05699481865284974,1.0,0.05699481865284974,8080,8273,50000
2,KNN Basic,_games_v2_t6_p12,90,1537,games,0.05855562784645413,1.0,0.05855562784645413,6736,8273,50000
3,KNN With Means,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
4,KNN With ZScore,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
5,KNN With Means,_games_v2_t6_p12,89,1537,games,0.057905009759271306,1.0,0.057905009759271306,6736,8273,50000
6,Matrix Basic,_games_v2_t6_p12,134,1537,games,0.08718282368249837,1.0,0.08718282368249837,6736,8273,50000
7,SVD Factorization,_games_v2_t6_p12,149,1537,games,0.09694209499024073,1.0,0.09694209499024073,6736,8273,50000
8,SVD PP Matrix Factorization,_games_v2_t6_p12,124,1537,games,0.08067664281067013,1.0,0.08067664281067013,6736,8273,50000
9,NMF Matrix Factorization,_games_v2_t6_p12,123,1537,games,0.08002602472348731,1.0,0.08002602472348731,6736,8273,50000
10,Slope One Recommender,_games_v2_t6_p12,120,1537,games,0.07807417046193885,1.0,0.07807417046193885,6736,8273,50000
11,Slope One Recommender,_games_v2_t6_p12,115,1537,games,0.07482108002602472,1.0,0.07482108002602472,6736,8273,50000
